datetime,stkcd,open,high,low,close,amt,vol,change,pct_change
2024-04-22 14:45:00,000300.SH,3532.675,3533.778,3532.675,3533.147,882762978.3000183,752910.0,0.79,0.000224
2024-04-22 14:46:00,000300.SH,3533.481,3534.181,3533.295,3534.08,766197935.6000061,515386.0,0.93,0.000264
2024-04-22 14:47:00,000300.SH,3533.899,3533.899,3532.296,3532.296,828493210.0999756,574790.0,-1.78,-0.000505
2024-04-22 14:48:00,000300.SH,3532.352,3532.352,3531.267,3531.267,836619409.5,541684.0,-1.03,-0.000291
2024-04-22 14:49:00,000300.SH,3531.75,3532.226,3531.741,3531.886,798453558.7000122,550246.0,0.62,0.000175
2024-04-22 14:50:00,000300.SH,3531.906,3532.136,3530.834,3530.908,825534053.1000061,557938.0,-0.98,-0.000277
2024-04-22 14:51:00,000300.SH,3530.876,3530.905,3530.18,3530.18,911100682.0,655088.0,-0.73,-0.000206
2024-04-22 14:52:00,000300.SH,3530.288,3530.288,3529.793,3530.117,894353995.7999878,611208.0,-0.06,-1.8e-05
2024-04-22 14:53:00,000300.SH,3530.268,3530.277,3529.789,3529.91,962391855.8000183,647454.0,-0.21,-5.9e-05
2024-04-22 14:54:00,000300.SH,3530.166,3530.447,3529.892,3530.226,1078725065.6999817,656247.0,0.32,9e-05
2024-04-22 14:55:00,000300.SH,3530.341,3530.9,3530.189,3530.802,1179125146.5,746869.0,0.58,0.000163
2024-04-22 14:56:00,000300.SH,3530.705,3531.519,3530.397,3531.327,1222881565.8000183,803013.0,0.53,0.000149
2024-04-22 14:57:00,000300.SH,3531.102,3531.191,3531.102,3531.191,36372775.099975586,16186.0,-0.14,-3.9e-05
2024-04-22 14:58:00,000300.SH,3531.191,3531.191,3531.126,3531.126,1104531855.3000183,753769.0,-0.06,-1.8e-05
2024-04-22 14:59:00,000300.SH,3531.126,3531.126,3531.126,3531.126,0.0,0.0,0.0,0.0
2024-04-22 15:00:00,000300.SH,3531.126,3531.126,3531.126,3531.126,0.0,0.0,0.0,0.0
2024-04-23 09:30:00,000300.SH,3525.668,3533.758,3525.668,3530.428,7747463746.2,4667420.0,-0.7,-0.000198
2024-04-23 09:31:00,000300.SH,3530.001,3530.001,3525.206,3525.322,3918785298.3,2497242.0,-5.11,-0.001446
2024-04-23 09:32:00,000300.SH,3525.187,3529.731,3525.082,3527.325,2991110633.0,1804197.0,2.0,0.000568
2024-04-23 09:33:00,000300.SH,3527.427,3529.122,3526.916,3528.071,2463148695.700001,1378331.0,0.75,0.000211
2024-04-23 09:34:00,000300.SH,3528.133,3528.133,3523.595,3523.782,2425740559.799999,1526658.0,-4.29,-0.001216
2024-04-23 09:35:00,000300.SH,3523.684,3526.115,3522.864,3522.893,2776831298.700001,1734255.0,-0.89,-0.000252
